IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,244,9.62
34.141.141.142,443,443,true,FRA,Europe,Frankfurt,196,9.62
34.118.24.250,443,443,true,FRA,Europe,Frankfurt,186,9.60
34.116.214.219,443,443,true,FRA,Europe,Frankfurt,210,9.60
34.91.167.118,443,443,true,FRA,Europe,Frankfurt,176,9.58
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,186,9.57
34.118.127.11,443,443,true,FRA,Europe,Frankfurt,185,9.57
34.65.253.167,443,443,true,FRA,Europe,Frankfurt,175,9.56
34.32.156.13,443,443,true,FRA,Europe,Frankfurt,178,9.56
34.118.120.60,443,443,true,FRA,Europe,Frankfurt,200,9.56
34.118.80.175,443,443,true,FRA,Europe,Frankfurt,191,9.54
34.116.199.155,443,443,true,FRA,Europe,Frankfurt,190,9.53
34.154.101.119,443,443,true,FRA,Europe,Frankfurt,162,9.51
35.246.182.103,443,443,true,FRA,Europe,Frankfurt,239,9.51
34.118.10.184,443,443,true,FRA,Europe,Frankfurt,186,9.49
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,186,9.49
34.118.100.194,443,443,true,FRA,Europe,Frankfurt,221,9.47
34.90.255.182,443,443,true,FRA,Europe,Frankfurt,188,9.46
34.107.36.146,443,443,true,FRA,Europe,Frankfurt,211,9.46
34.118.121.235,443,443,true,FRA,Europe,Frankfurt,189,9.44
34.116.181.8,443,443,true,FRA,Europe,Frankfurt,186,9.44
34.90.72.181,443,443,true,FRA,Europe,Frankfurt,178,9.43
34.123.83.237,443,443,true,ORD,North America,Chicago,207,9.43
34.65.187.206,443,443,true,FRA,Europe,Frankfurt,185,9.43
34.89.193.162,443,443,true,FRA,Europe,Frankfurt,184,9.41
34.91.185.41,443,443,true,FRA,Europe,Frankfurt,177,9.40
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,190,9.40
35.204.195.94,443,443,true,FRA,Europe,Frankfurt,178,9.39
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,205,9.39
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,187,9.39
34.90.19.50,443,443,true,FRA,Europe,Frankfurt,195,9.38
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,187,9.37
34.118.102.129,443,443,true,FRA,Europe,Frankfurt,225,9.37
34.107.94.44,443,443,true,FRA,Europe,Frankfurt,167,9.37
34.90.42.240,443,443,true,FRA,Europe,Frankfurt,192,9.34
34.90.82.108,443,443,true,FRA,Europe,Frankfurt,189,9.34
34.118.102.66,443,443,true,FRA,Europe,Frankfurt,185,9.33
34.90.42.240,443,443,true,FRA,Europe,Frankfurt,178,9.31
34.90.234.217,443,443,true,FRA,Europe,Frankfurt,179,9.31
34.116.202.128,443,443,true,FRA,Europe,Frankfurt,187,9.30
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,190,9.29
34.123.83.237,443,443,true,ORD,North America,Chicago,204,9.29
34.65.236.103,443,443,true,FRA,Europe,Frankfurt,174,9.27
34.91.209.79,443,443,true,FRA,Europe,Frankfurt,193,9.27
34.123.83.237,443,443,true,ORD,North America,Chicago,205,9.26
34.118.99.171,443,443,true,FRA,Europe,Frankfurt,187,9.26
34.116.192.231,443,443,true,FRA,Europe,Frankfurt,188,9.26
34.116.169.12,443,443,true,FRA,Europe,Frankfurt,185,9.24
34.91.195.98,443,443,true,FRA,Europe,Frankfurt,181,9.24
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,188,9.24
34.89.180.46,443,443,true,FRA,Europe,Frankfurt,168,9.24
34.118.89.29,443,443,true,FRA,Europe,Frankfurt,183,9.23
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,190,9.23
34.65.86.175,443,443,true,FRA,Europe,Frankfurt,174,9.22
34.65.103.93,443,443,true,FRA,Europe,Frankfurt,176,9.22
34.118.60.134,443,443,true,FRA,Europe,Frankfurt,184,9.22
34.116.212.98,443,443,true,FRA,Europe,Frankfurt,186,9.22
34.116.235.43,443,443,true,FRA,Europe,Frankfurt,224,9.20
34.89.171.140,443,443,true,FRA,Europe,Frankfurt,175,9.20
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,176,9.19
35.204.176.96,443,443,true,FRA,Europe,Frankfurt,177,9.19
34.147.44.26,443,443,true,FRA,Europe,Frankfurt,178,9.18
34.116.213.20,443,443,true,FRA,Europe,Frankfurt,191,9.18
34.154.111.153,443,443,true,FRA,Europe,Frankfurt,185,9.18
34.65.0.125,443,443,true,AMS,Europe,Amsterdam,172,9.18
34.118.31.190,443,443,true,FRA,Europe,Frankfurt,188,9.16
34.65.12.30,443,443,true,FRA,Europe,Frankfurt,224,9.16
35.232.39.116,80,80,false,DFW,North America,Dallas,205,9.16
34.65.238.78,443,443,true,FRA,Europe,Frankfurt,172,9.15
34.116.223.71,443,443,true,FRA,Europe,Frankfurt,184,9.14
34.118.95.43,443,443,true,FRA,Europe,Frankfurt,185,9.14
34.147.75.241,443,443,true,FRA,Europe,Frankfurt,174,9.14
34.90.52.99,443,443,true,FRA,Europe,Frankfurt,181,9.13
34.154.56.153,443,443,true,FRA,Europe,Frankfurt,180,9.13
34.118.108.149,443,443,true,CDG,Europe,Paris,190,9.13
34.118.17.145,443,443,true,FRA,Europe,Frankfurt,188,9.12
34.65.92.134,443,443,true,FRA,Europe,Frankfurt,173,9.11
34.91.83.233,443,443,true,FRA,Europe,Frankfurt,179,9.11
34.118.70.217,443,443,true,FRA,Europe,Frankfurt,188,9.11
34.89.239.146,443,443,true,CDG,Europe,Paris,178,9.10
34.118.16.79,443,443,true,CDG,Europe,Paris,191,9.09
34.89.241.21,443,443,true,FRA,Europe,Frankfurt,168,9.08
34.118.67.148,443,443,true,FRA,Europe,Frankfurt,186,9.07
34.65.130.144,443,443,true,FRA,Europe,Frankfurt,177,9.07
34.89.241.21,443,443,true,FRA,Europe,Frankfurt,167,9.07
34.65.192.88,443,443,true,FRA,Europe,Frankfurt,207,9.06
34.118.101.53,443,443,true,FRA,Europe,Frankfurt,189,9.04
34.65.99.191,443,443,true,FRA,Europe,Frankfurt,170,9.03
34.90.72.181,443,443,true,FRA,Europe,Frankfurt,176,9.03
34.72.146.82,443,443,true,ORD,North America,Chicago,207,9.03
34.66.72.229,443,443,true,ORD,North America,Chicago,205,9.02
34.118.15.93,443,443,true,FRA,Europe,Frankfurt,188,9.02
34.41.252.92,443,443,true,ORD,North America,Chicago,213,9.02
35.234.68.60,443,443,true,FRA,Europe,Frankfurt,180,9.02
34.150.180.124,443,443,true,IAD,North America,Ashburn,212,9.01
34.154.142.7,443,443,true,FRA,Europe,Frankfurt,209,9.01
34.116.180.92,443,443,true,FRA,Europe,Frankfurt,275,9.01
34.72.146.82,443,443,true,ORD,North America,Chicago,206,9.01
34.72.146.82,443,443,true,ORD,North America,Chicago,206,9.01
34.70.91.86,443,443,true,ORD,North America,Chicago,205,9.00
34.69.150.180,443,443,true,ORD,North America,Chicago,207,8.99
34.116.180.92,443,443,true,FRA,Europe,Frankfurt,191,8.98
34.118.20.188,443,443,true,FRA,Europe,Frankfurt,192,8.98
34.122.12.237,443,443,true,ORD,North America,Chicago,206,8.98
34.118.112.23,443,443,true,FRA,Europe,Frankfurt,190,8.98
35.226.211.129,443,443,true,ORD,North America,Chicago,282,8.98
34.70.91.86,443,443,true,ORD,North America,Chicago,205,8.97
34.65.44.52,443,443,true,FRA,Europe,Frankfurt,191,8.97
34.89.212.37,443,443,true,FRA,Europe,Frankfurt,155,8.97
34.29.228.169,443,443,true,ORD,North America,Chicago,205,8.95
34.65.64.244,443,443,true,FRA,Europe,Frankfurt,177,8.94
34.154.74.106,443,443,true,FRA,Europe,Frankfurt,176,8.94
35.245.105.232,443,443,true,IAD,North America,Ashburn,220,8.93
34.147.231.33,443,443,true,LHR,Europe,London,218,8.93
35.202.158.120,443,443,true,ORD,North America,Chicago,206,8.92
34.29.228.169,443,443,true,ORD,North America,Chicago,205,8.92
34.145.145.76,443,443,true,IAD,North America,Ashburn,292,8.92
34.116.169.12,443,443,true,FRA,Europe,Frankfurt,252,8.91
34.65.214.122,443,443,true,FRA,Europe,Frankfurt,176,8.91
34.118.33.236,443,443,true,FRA,Europe,Frankfurt,185,8.91
34.154.233.194,443,443,true,AMS,Europe,Amsterdam,175,8.90
35.189.99.124,443,443,true,LHR,Europe,London,171,8.90
34.116.167.198,443,443,true,FRA,Europe,Frankfurt,184,8.90
34.66.72.229,443,443,true,ORD,North America,Chicago,205,8.89
34.69.150.180,443,443,true,ORD,North America,Chicago,206,8.89
35.232.160.115,443,443,true,ORD,North America,Chicago,205,8.88
35.196.227.34,80,0,false,ATL,North America,Atlanta,220,8.87
35.234.172.22,443,443,true,FRA,Europe,Frankfurt,174,8.87
34.150.133.11,443,443,true,IAD,North America,Ashburn,222,8.86
